Point_ID,Latitude,Longitude,Easting(m),Northing (m)
SST-ISR-A.6,32 37' 39.44 N,34 48' 59.19 E,1139629.17,-41343.54
TP.1-A.6-1.1,32 42' 18.00 N,34 41' 24.71 E,1127225.79,-33576.93
IP.1-A.6-1,32 42' 39.37 N,34 40' 49.76 E,1126273.00,-32980.32
TP.1-A.6-1.2,32 42' 36.07 N,34 40' 06.80 E,1125162.78,-33156.77
TP.1-A.6-2.1,32 42' 30.39 N,34 38' 53.16 E,1123259.57,-33459.25
IP.1-A.6-2,32 42' 27.51 N,34 38' 15.83 E,1122294.76,-33612.59
TP.1-A.6-2.2,32 42' 43.76 N,34 37' 43.65 E,1121424.66,-33168.41
TP.1-A.6-3.1,32 46' 44.97 N,34 29' 44.99 E,1108494.86,-26567.83
IP.1-A.6-3,32 46' 54.72 N,34 29' 25.61 E,1107971.68,-26300.75
TP.1-A.6-3.2,32 47' 08.76 N,34 29' 10.36 E,1107547.38,-25894.53
TP.1-A.6-4.1,33 15' 43.26 N,33 57' 53.87 E,1055630.22,23809.81
IP.1-A.6-4,33 16' 02.41 N,33 57' 32.75 E,1055049.25,24366.02
TP.1-A.6-4.2,33 16' 16.19 N,33 57' 06.37 E,1054342.30,24749.59
TP.1-A.6-5.1,33 24' 25.73 N,33 41' 26.53 E,1029194.67,38393.72
IP.1-A.6-5,33 25' 16.16 N,33 39' 49.31 E,1026598.06,39802.54
TP.1-A.6-5.2,33 26' 51.53 N,33 39' 37.67 E,1026131.36,42719.62
TP.1-A.6-6.1,33 34' 49.10 N,33 38' 39.29 E,1023794.29,57327.32
IP.1-A.6-6,33 35' 30.59 N,33 38' 34.20 E,1023591.25,58596.38
TP.1-A.6-6.2,33 36' 06.70 N,33 38' 09.26 E,1022886.21,59670.93
TP.1-A.6-7.1,33 55' 40.89 N,33 24' 34.23 E,999944.18,94636.98
IP.1-A.6-7,33 55' 48.71 N,33 24' 28.78 E,999791.31,94869.97
TP.1-A.6-7.2,33 55' 56.92 N,33 24' 24.22 E,999660.69,95116.13
TP.1-A.6-8.1,34 10' 14.63 N,33 16' 26.14 E,986004.92,120850.64
IP.1-A.6-8,34 10' 45.97 N,33 16' 08.62 E,985505.88,121791.10
TP.1-A.6-8.2,34 11' 10.38 N,33 15' 39.19 E,984713.74,122502.44
TP.1-A.6-9.1,34 14' 42.56 N,33 11' 23.06 E,977825.06,128688.45
IP.1-A.6-9,34 15' 07.72 N,33 10' 52.66 E,977008.13,129422.05
TP.1-A.6-9.2,34 15' 10.63 N,33 10' 09.89 E,975910.65,129454.99
SST-CYP-A.6,34 15' 18.27 N,33 08' 17.42 E,973024.84,129541.62
